model,disease,metric,value,ci_lower,ci_upper,is_proposed
ALIGATEHR-Gen,Type 2 Diabetes,AUROC,0.8188,0.8019,0.8357,True
ALIGATEHR-Gen,Type 2 Diabetes,AUPRC,0.8293,0.8184,0.8403,True
ALIGATEHR-Gen,Type 2 Diabetes,F1,0.8376,0.8183,0.8568,True
ALIGATEHR-Gen,Type 2 Diabetes,Precision,0.8284,0.8105,0.8463,True
ALIGATEHR-Gen,Type 2 Diabetes,Recall,0.8184,0.7949,0.8419,True
ALIGATEHR-Gen,Coronary Heart Disease,AUROC,0.864,0.8513,0.8766,True
ALIGATEHR-Gen,Coronary Heart Disease,AUPRC,0.81,0.793,0.8269,True
ALIGATEHR-Gen,Coronary Heart Disease,F1,0.8174,0.8042,0.8307,True
ALIGATEHR-Gen,Coronary Heart Disease,Precision,0.7994,0.7745,0.8243,True
ALIGATEHR-Gen,Coronary Heart Disease,Recall,0.8229,0.8006,0.8451,True
ALIGATEHR-Gen,CKD,AUROC,0.8708,0.8622,0.8794,True
ALIGATEHR-Gen,CKD,AUPRC,0.8781,0.8587,0.8975,True
ALIGATEHR-Gen,CKD,F1,0.881,0.8587,0.9033,True
ALIGATEHR-Gen,CKD,Precision,0.8821,0.8646,0.8995,True
ALIGATEHR-Gen,CKD,Recall,0.8898,0.8665,0.9132,True
ALIGATEHR-Gen,COPD,AUROC,0.8906,0.8679,0.9133,True
ALIGATEHR-Gen,COPD,AUPRC,0.8796,0.8713,0.8878,True
ALIGATEHR-Gen,COPD,F1,0.8859,0.8631,0.9086,True
ALIGATEHR-Gen,COPD,Precision,0.8945,0.8698,0.9192,True
ALIGATEHR-Gen,COPD,Recall,0.8711,0.861,0.8813,True
ALIGATEHR-Gen,Atrial Fibrillation,AUROC,0.8228,0.8066,0.8389,True
ALIGATEHR-Gen,Atrial Fibrillation,AUPRC,0.7999,0.7827,0.8171,True
ALIGATEHR-Gen,Atrial Fibrillation,F1,0.8222,0.8029,0.8414,True
ALIGATEHR-Gen,Atrial Fibrillation,Precision,0.8031,0.7861,0.8201,True
ALIGATEHR-Gen,Atrial Fibrillation,Recall,0.8264,0.8059,0.847,True
ALIGATEHR-Gen,Heart Failure,AUROC,0.879,0.8685,0.8896,True
ALIGATEHR-Gen,Heart Failure,AUPRC,0.8487,0.8331,0.8643,True
ALIGATEHR-Gen,Heart Failure,F1,0.8806,0.8687,0.8924,True
ALIGATEHR-Gen,Heart Failure,Precision,0.8772,0.8529,0.9014,True
ALIGATEHR-Gen,Heart Failure,Recall,0.9212,0.9131,0.9294,True
ALIGATEHR-Gen,Asthma,AUROC,0.8772,0.8552,0.8992,True
ALIGATEHR-Gen,Asthma,AUPRC,0.8582,0.8363,0.88,True
ALIGATEHR-Gen,Asthma,F1,0.8814,0.8606,0.9022,True
ALIGATEHR-Gen,Asthma,Precision,0.8814,0.8672,0.8957,True
ALIGATEHR-Gen,Asthma,Recall,0.8574,0.8453,0.8696,True
XGBoost,Type 2 Diabetes,AUROC,0.8628,0.8527,0.873,False
XGBoost,Type 2 Diabetes,AUPRC,0.8394,0.8229,0.8559,False
XGBoost,Type 2 Diabetes,F1,0.8028,0.7827,0.8229,False
XGBoost,Type 2 Diabetes,Precision,0.841,0.8294,0.8527,False
XGBoost,Type 2 Diabetes,Recall,0.8325,0.8154,0.8495,False
XGBoost,Coronary Heart Disease,AUROC,0.7844,0.7754,0.7935,False
XGBoost,Coronary Heart Disease,AUPRC,0.8125,0.7918,0.8331,False
XGBoost,Coronary Heart Disease,F1,0.8126,0.7932,0.8319,False
XGBoost,Coronary Heart Disease,Precision,0.814,0.7921,0.8359,False
XGBoost,Coronary Heart Disease,Recall,0.8142,0.7925,0.836,False
XGBoost,CKD,AUROC,0.8092,0.7891,0.8292,False
XGBoost,CKD,AUPRC,0.8117,0.7914,0.8321,False
XGBoost,CKD,F1,0.8064,0.7958,0.817,False
XGBoost,CKD,Precision,0.8039,0.7889,0.8189,False
XGBoost,CKD,Recall,0.8211,0.8028,0.8393,False
XGBoost,COPD,AUROC,0.7923,0.7676,0.817,False
XGBoost,COPD,AUPRC,0.8234,0.7987,0.8481,False
XGBoost,COPD,F1,0.784,0.765,0.8031,False
XGBoost,COPD,Precision,0.8125,0.7964,0.8286,False
XGBoost,COPD,Recall,0.8212,0.8037,0.8386,False
XGBoost,Atrial Fibrillation,AUROC,0.807,0.7856,0.8284,False
XGBoost,Atrial Fibrillation,AUPRC,0.7884,0.7755,0.8012,False
XGBoost,Atrial Fibrillation,F1,0.8239,0.8012,0.8467,False
XGBoost,Atrial Fibrillation,Precision,0.7937,0.7714,0.816,False
XGBoost,Atrial Fibrillation,Recall,0.816,0.7913,0.8408,False
XGBoost,Heart Failure,AUROC,0.8089,0.7958,0.8219,False
XGBoost,Heart Failure,AUPRC,0.8093,0.7856,0.8331,False
XGBoost,Heart Failure,F1,0.7878,0.7753,0.8003,False
XGBoost,Heart Failure,Precision,0.7833,0.7715,0.7952,False
