disease,feature,importance_score,rank
CKD,BMI,0.2012,1
CKD,Haemoglobin,0.1965,2
CKD,Free T4,0.1945,3
CKD,ALT,0.1887,4
CKD,Fibrinogen,0.1838,5
CKD,Sodium,0.1824,6
CKD,AST,0.1793,7
CKD,Physical Activity,0.1759,8
CKD,Testosterone,0.1576,9
CKD,Phosphate,0.1545,10
CKD,Potassium,0.1471,11
CKD,Urea,0.1449,12
CKD,LDL Cholesterol,0.1416,13
CKD,Apolipoprotein A,0.1373,14
CKD,TSH,0.1353,15
CKD,Systolic Blood Pressure,0.1318,16
CKD,Hip Circumference,0.1271,17
CKD,Creatinine,0.1212,18
CKD,FEV1,0.1179,19
CKD,Bilirubin,0.1168,20
CKD,Albumin,0.1143,21
CKD,HbA1c,0.1142,22
CKD,Glucose,0.1105,23
CKD,Iron,0.1052,24
CKD,IGF-1,0.1032,25
CKD,Age at Diagnosis,0.1026,26
CKD,SHBG,0.0906,27
CKD,HDL Cholesterol,0.0905,28
CKD,FVC,0.0847,29
CKD,Alcohol Intake,0.083,30
CKD,Uric Acid,0.0765,31
CKD,Calcium,0.0759,32
CKD,Waist Circumference,0.0751,33
CKD,CRP,0.0708,34
CKD,Ferritin,0.0581,35
CKD,Platelet Count,0.0518,36
CKD,Smoking Status,0.0492,37
CKD,Alkaline Phosphatase,0.0465,38
CKD,eGFR,0.0461,39
CKD,Triglycerides,0.0452,40
CKD,Cystatin C,0.0442,41
CKD,Diastolic Blood Pressure,0.0355,42
CKD,Apolipoprotein B,0.0319,43
CKD,Vitamin D,0.0315,44
CKD,Insulin,0.0301,45
CKD,Gamma GT,0.0287,46
CKD,Lipoprotein(a),0.0272,47
CKD,White Blood Cell Count,0.0139,48
CKD,Cortisol,0.0134,49
CKD,Total Cholesterol,0.0106,50
Crohns_Disease,AST,0.2146,1
Crohns_Disease,Insulin,0.2027,2
Crohns_Disease,SHBG,0.1989,3
Crohns_Disease,Free T4,0.195,4
Crohns_Disease,HbA1c,0.1781,5
Crohns_Disease,Iron,0.1764,6
Crohns_Disease,Waist Circumference,0.1739,7
Crohns_Disease,Bilirubin,0.1713,8
Crohns_Disease,BMI,0.1689,9
Crohns_Disease,Urea,0.1635,10
Crohns_Disease,Testosterone,0.1608,11
Crohns_Disease,HDL Cholesterol,0.1605,12
Crohns_Disease,Total Cholesterol,0.1576,13
Crohns_Disease,Systolic Blood Pressure,0.1519,14
Crohns_Disease,White Blood Cell Count,0.1499,15
Crohns_Disease,ALT,0.1498,16
Crohns_Disease,Physical Activity,0.1471,17
Crohns_Disease,Triglycerides,0.1411,18
Crohns_Disease,Albumin,0.1369,19
Crohns_Disease,Age at Diagnosis,0.1275,20
Crohns_Disease,FVC,0.1273,21
Crohns_Disease,FEV1,0.1267,22
Crohns_Disease,Ferritin,0.1166,23
Crohns_Disease,Alkaline Phosphatase,0.1159,24
Crohns_Disease,eGFR,0.1065,25
Crohns_Disease,Haemoglobin,0.1038,26
Crohns_Disease,IGF-1,0.0985,27
Crohns_Disease,Hip Circumference,0.0964,28
Crohns_Disease,Fibrinogen,0.0962,29
Crohns_Disease,TSH,0.096,30
Crohns_Disease,Platelet Count,0.0955,31
Crohns_Disease,Gamma GT,0.0882,32
Crohns_Disease,Vitamin D,0.0875,33
Crohns_Disease,Apolipoprotein A,0.0771,34
Crohns_Disease,Glucose,0.0689,35
Crohns_Disease,Potassium,0.0686,36
Crohns_Disease,Diastolic Blood Pressure,0.0653,37
Crohns_Disease,Cystatin C,0.0617,38
Crohns_Disease,Alcohol Intake,0.0607,39
Crohns_Disease,Uric Acid,0.0485,40
Crohns_Disease,Creatinine,0.0429,41
Crohns_Disease,Cortisol,0.0388,42
Crohns_Disease,Apolipoprotein B,0.0351,43
Crohns_Disease,CRP,0.03,44
Crohns_Disease,Smoking Status,0.0283,45
Crohns_Disease,Calcium,0.0272,46
Crohns_Disease,Sodium,0.0245,47
Crohns_Disease,Lipoprotein(a),0.024,48
Crohns_Disease,LDL Cholesterol,0.0225,49
Crohns_Disease,Phosphate,0.0122,50
Fibrosis_of_Skin,Gamma GT,0.209,1
