variant,disease,metric,value,full_model_value,delta
w/o Genetic Data,Type 2 Diabetes,AUROC,0.8663,0.916,-0.0497
w/o Ontology Graph,Type 2 Diabetes,AUROC,0.8741,0.916,-0.0419
w/o Attention Mechanism,Type 2 Diabetes,AUROC,0.8606,0.916,-0.0554
w/o EHR Sequences,Type 2 Diabetes,AUROC,0.8638,0.916,-0.0522
w/o Pre-training,Type 2 Diabetes,AUROC,0.8689,0.916,-0.0471
w/o Genetic Data,Type 2 Diabetes,AUPRC,0.9018,0.917,-0.0152
w/o Ontology Graph,Type 2 Diabetes,AUPRC,0.8847,0.917,-0.0323
w/o Attention Mechanism,Type 2 Diabetes,AUPRC,0.8723,0.917,-0.0447
w/o EHR Sequences,Type 2 Diabetes,AUPRC,0.8854,0.917,-0.0316
w/o Pre-training,Type 2 Diabetes,AUPRC,0.8959,0.917,-0.0211
w/o Genetic Data,Type 2 Diabetes,F1,0.8291,0.8875,-0.0584
w/o Ontology Graph,Type 2 Diabetes,F1,0.8552,0.8875,-0.0323
w/o Attention Mechanism,Type 2 Diabetes,F1,0.8822,0.8875,-0.0053
w/o EHR Sequences,Type 2 Diabetes,F1,0.8567,0.8875,-0.0308
w/o Pre-training,Type 2 Diabetes,F1,0.8517,0.8875,-0.0358
w/o Genetic Data,Type 2 Diabetes,Precision,0.819,0.8321,-0.0131
w/o Ontology Graph,Type 2 Diabetes,Precision,0.8138,0.8321,-0.0183
w/o Attention Mechanism,Type 2 Diabetes,Precision,0.8087,0.8321,-0.0234
w/o EHR Sequences,Type 2 Diabetes,Precision,0.8219,0.8321,-0.0102
w/o Pre-training,Type 2 Diabetes,Precision,0.8223,0.8321,-0.0098
w/o Genetic Data,Type 2 Diabetes,Recall,0.8376,0.885,-0.0474
w/o Ontology Graph,Type 2 Diabetes,Recall,0.8344,0.885,-0.0506
w/o Attention Mechanism,Type 2 Diabetes,Recall,0.8497,0.885,-0.0353
w/o EHR Sequences,Type 2 Diabetes,Recall,0.871,0.885,-0.014
w/o Pre-training,Type 2 Diabetes,Recall,0.8709,0.885,-0.0141
w/o Genetic Data,Coronary Heart Disease,AUROC,0.8099,0.8683,-0.0584
w/o Ontology Graph,Coronary Heart Disease,AUROC,0.86,0.8683,-0.0083
w/o Attention Mechanism,Coronary Heart Disease,AUROC,0.8408,0.8683,-0.0275
w/o EHR Sequences,Coronary Heart Disease,AUROC,0.841,0.8683,-0.0273
w/o Pre-training,Coronary Heart Disease,AUROC,0.8233,0.8683,-0.045
w/o Genetic Data,Coronary Heart Disease,AUPRC,0.8061,0.8348,-0.0287
w/o Ontology Graph,Coronary Heart Disease,AUPRC,0.7797,0.8348,-0.0551
w/o Attention Mechanism,Coronary Heart Disease,AUPRC,0.7834,0.8348,-0.0514
w/o EHR Sequences,Coronary Heart Disease,AUPRC,0.7996,0.8348,-0.0352
w/o Pre-training,Coronary Heart Disease,AUPRC,0.818,0.8348,-0.0168
w/o Genetic Data,Coronary Heart Disease,F1,0.8172,0.8771,-0.0599
w/o Ontology Graph,Coronary Heart Disease,F1,0.8468,0.8771,-0.0303
w/o Attention Mechanism,Coronary Heart Disease,F1,0.8496,0.8771,-0.0275
w/o EHR Sequences,Coronary Heart Disease,F1,0.85,0.8771,-0.0271
w/o Pre-training,Coronary Heart Disease,F1,0.8267,0.8771,-0.0504
w/o Genetic Data,Coronary Heart Disease,Precision,0.8144,0.873,-0.0586
w/o Ontology Graph,Coronary Heart Disease,Precision,0.8257,0.873,-0.0473
w/o Attention Mechanism,Coronary Heart Disease,Precision,0.8679,0.873,-0.0051
w/o EHR Sequences,Coronary Heart Disease,Precision,0.8672,0.873,-0.0058
w/o Pre-training,Coronary Heart Disease,Precision,0.8304,0.873,-0.0426
w/o Genetic Data,Coronary Heart Disease,Recall,0.889,0.8945,-0.0055
w/o Ontology Graph,Coronary Heart Disease,Recall,0.8479,0.8945,-0.0466
w/o Attention Mechanism,Coronary Heart Disease,Recall,0.8568,0.8945,-0.0377
w/o EHR Sequences,Coronary Heart Disease,Recall,0.8354,0.8945,-0.0591
w/o Pre-training,Coronary Heart Disease,Recall,0.8649,0.8945,-0.0296
w/o Genetic Data,CKD,AUROC,0.8693,0.9011,-0.0318
w/o Ontology Graph,CKD,AUROC,0.8534,0.9011,-0.0477
w/o Attention Mechanism,CKD,AUROC,0.8671,0.9011,-0.034
w/o EHR Sequences,CKD,AUROC,0.8679,0.9011,-0.0332
w/o Pre-training,CKD,AUROC,0.8558,0.9011,-0.0453
w/o Genetic Data,CKD,AUPRC,0.8681,0.9119,-0.0438
w/o Ontology Graph,CKD,AUPRC,0.883,0.9119,-0.0289
w/o Attention Mechanism,CKD,AUPRC,0.8625,0.9119,-0.0494
w/o EHR Sequences,CKD,AUPRC,0.875,0.9119,-0.0369
w/o Pre-training,CKD,AUPRC,0.8979,0.9119,-0.014
w/o Genetic Data,CKD,F1,0.8187,0.8699,-0.0512
w/o Ontology Graph,CKD,F1,0.8235,0.8699,-0.0464
w/o Attention Mechanism,CKD,F1,0.863,0.8699,-0.0069
w/o EHR Sequences,CKD,F1,0.8119,0.8699,-0.058
w/o Pre-training,CKD,F1,0.8159,0.8699,-0.054
w/o Genetic Data,CKD,Precision,0.8107,0.8435,-0.0328
w/o Ontology Graph,CKD,Precision,0.8058,0.8435,-0.0377
w/o Attention Mechanism,CKD,Precision,0.8015,0.8435,-0.042
w/o EHR Sequences,CKD,Precision,0.8005,0.8435,-0.043
w/o Pre-training,CKD,Precision,0.8115,0.8435,-0.032
w/o Genetic Data,CKD,Recall,0.8212,0.8504,-0.0292
w/o Ontology Graph,CKD,Recall,0.8229,0.8504,-0.0275
w/o Attention Mechanism,CKD,Recall,0.8078,0.8504,-0.0426
w/o EHR Sequences,CKD,Recall,0.8115,0.8504,-0.0389
w/o Pre-training,CKD,Recall,0.8263,0.8504,-0.0241
w/o Genetic Data,COPD,AUROC,0.8563,0.9052,-0.0489
w/o Ontology Graph,COPD,AUROC,0.8632,0.9052,-0.042
w/o Attention Mechanism,COPD,AUROC,0.8854,0.9052,-0.0198
w/o EHR Sequences,COPD,AUROC,0.8815,0.9052,-0.0237
w/o Pre-training,COPD,AUROC,0.8828,0.9052,-0.0224
w/o Genetic Data,COPD,AUPRC,0.8024,0.8333,-0.0309
w/o Ontology Graph,COPD,AUPRC,0.8085,0.8333,-0.0248
w/o Attention Mechanism,COPD,AUPRC,0.8131,0.8333,-0.0202
w/o EHR Sequences,COPD,AUPRC,0.7858,0.8333,-0.0475
w/o Pre-training,COPD,AUPRC,0.8003,0.8333,-0.033
w/o Genetic Data,COPD,F1,0.8406,0.8702,-0.0296
w/o Ontology Graph,COPD,F1,0.833,0.8702,-0.0372
w/o Attention Mechanism,COPD,F1,0.8378,0.8702,-0.0324
w/o EHR Sequences,COPD,F1,0.8334,0.8702,-0.0368
w/o Pre-training,COPD,F1,0.865,0.8702,-0.0052
w/o Genetic Data,COPD,Precision,0.9047,0.9119,-0.0072
w/o Ontology Graph,COPD,Precision,0.89,0.9119,-0.0219
w/o Attention Mechanism,COPD,Precision,0.8648,0.9119,-0.0471
w/o EHR Sequences,COPD,Precision,0.8654,0.9119,-0.0465
w/o Pre-training,COPD,Precision,0.9035,0.9119,-0.0084
