code,chapter,umap_1,umap_2,tsne_1,tsne_2
A00,I  Infectious,9.206517,-1.4229311,-18.927927,8.55735
A009,I  Infectious,9.201589,-1.4324515,-19.231874,8.587262
A01,I  Infectious,12.056272,-3.5927403,-3.894246,-6.893314
A010,I  Infectious,12.082993,-3.6261685,-3.9162529,-7.413624
A014,I  Infectious,12.073724,-3.6207564,-3.638465,-7.1344337
A02,I  Infectious,12.763819,-3.4699168,-9.578021,-9.518597
A020,I  Infectious,12.749472,-3.4460957,-9.691591,-9.563063
A021,I  Infectious,12.704078,-3.5114188,-9.666056,-9.507707
A022,I  Infectious,12.78592,-3.438794,-9.734139,-9.4266405
A028,I  Infectious,12.723973,-3.453424,-9.739595,-9.429978
A029,I  Infectious,12.650569,-3.4665198,-9.513544,-9.4698925
A03,I  Infectious,11.618437,-3.552576,-2.1848383,-3.2936144
A030,I  Infectious,11.6304655,-3.5356064,-2.074528,-3.2944973
A031,I  Infectious,11.655967,-3.532481,-2.193449,-3.295338
A033,I  Infectious,11.573423,-3.551324,-2.196498,-3.2894926
A039,I  Infectious,11.621023,-3.5360255,-2.1853614,-3.301243
A043,I  Infectious,13.270453,-3.2636461,-17.050749,-11.272641
A044,I  Infectious,13.361534,-3.4158506,-17.460522,-11.073019
A045,I  Infectious,13.263229,-3.210972,-16.558596,-11.671593
A047,I  Infectious,13.339099,-3.3873591,-17.503998,-10.909703
A048,I  Infectious,13.349966,-3.2710605,-16.812387,-11.538772
A049,I  Infectious,13.275022,-3.3009722,-17.04818,-11.1211815
A05,I  Infectious,12.276611,-3.4211967,-7.184598,-5.653161
A050,I  Infectious,12.304178,-3.340996,-7.178652,-5.6562147
A051,I  Infectious,12.253664,-3.4413435,-7.1379867,-5.6513352
A058,I  Infectious,12.366028,-3.3548596,-7.4738097,-5.5834107
A059,I  Infectious,12.448508,-3.3387065,-7.629211,-5.7482724
A06,I  Infectious,12.162896,-3.245007,-7.829845,-3.4795377
A060,I  Infectious,12.156264,-3.2611449,-7.53046,-3.6386278
A061,I  Infectious,12.112872,-3.2847164,-7.417138,-3.4721658
A064,I  Infectious,12.281462,-3.2380898,-9.323046,-4.3387947
A065,I  Infectious,12.100327,-3.2972949,-7.273139,-3.4311876
A066,I  Infectious,12.0799055,-3.307058,-7.2401147,-3.43074
A067,I  Infectious,12.124747,-3.275572,-7.732011,-3.4500978
A068,I  Infectious,12.092924,-3.302309,-7.576187,-3.1907227
A069,I  Infectious,12.149738,-3.224461,-7.8332725,-3.4577463
A071,I  Infectious,12.653327,-3.170961,-11.930207,-4.3926835
A072,I  Infectious,12.897775,-3.372202,-14.06068,-9.095047
A078,I  Infectious,12.925547,-3.2863388,-14.07734,-9.043025
A079,I  Infectious,12.56202,-3.1279502,-12.735668,-3.0930567
A080,I  Infectious,13.170595,-3.1952846,-18.463148,-7.4965324
A081,I  Infectious,13.198997,-3.2294104,-18.49549,-7.4334984
A082,I  Infectious,13.140774,-3.205565,-18.602861,-7.1329565
A083,I  Infectious,13.170594,-3.2318897,-18.410343,-7.6129866
A084,I  Infectious,13.164156,-3.2285483,-18.316383,-7.8790145
A085,I  Infectious,13.222127,-3.238446,-18.266811,-7.982614
A088,I  Infectious,13.163208,-3.2637596,-18.268076,-7.935137
A09,I  Infectious,13.106798,-3.2252347,-18.370275,-6.2920837
A090,I  Infectious,13.245503,-3.2108252,-16.795511,-11.443473
A099,I  Infectious,12.778386,7.032975,49.053078,-20.981813
A150,I  Infectious,12.582829,-3.2043276,-10.847677,-5.3756948
A152,I  Infectious,12.611349,-3.243696,-11.071884,-5.338674
A153,I  Infectious,12.572203,-3.1857092,-11.409084,-4.865619
A155,I  Infectious,12.581205,-3.1596854,-12.261227,-4.942289
