code,label,description,parent,kind,in_plot
A00-A09,A00-A09,Intestinal infectious diseases,,block,0
A15-A19,A15-A19,Tuberculosis,,block,0
A20-A28,A20-A28,Certain zoonotic bacterial diseases,,block,0
A30-A49,A30-A49,Other bacterial diseases,,block,0
A50-A64,A50-A64,Infections with a predominantly sexual mode of transmission,,block,0
A65-A69,A65-A69,Other spirochaetal diseases,,block,0
A70-A74,A70-A74,Other diseases caused by chlamydiae,,block,0
A75-A79,A75-A79,Rickettsioses,,block,0
A80-A89,A80-A89,Viral infections of the central nervous system,,block,0
A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,,block,0
B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,,block,0
B15-B19,B15-B19,Viral hepatitis,,block,0
B20-B24,B20-B24,Human immunodeficiency virus [HIV] disease,,block,0
B25-B34,B25-B34,Other viral diseases,,block,0
B35-B49,B35-B49,Mycoses,,block,0
B50-B64,B50-B64,Protozoal diseases,,block,0
B65-B83,B65-B83,Helminthiases,,block,0
B85-B89,B85-B89,"Pediculosis, acariasis and other infestations",,block,0
B90-B94,B90-B94,Sequelae of infectious and parasitic diseases,,block,0
B95-B98,B95-B98,"Bacterial, viral and other infectious agents",,block,0
B99-B99,B99-B99,Other infectious diseases,,block,0
C00-C14,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",,block,0
C15-C26,C15-C26,Malignant neoplasms of digestive organs,,block,0
C30-C39,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,,block,0
C40-C41,C40-C41,Malignant neoplasms of bone and articular cartilage,,block,0
C43-C44,C43-C44,Melanoma and other malignant neoplasms of skin,,block,0
C45-C49,C45-C49,Malignant neoplasms of mesothelial and soft tissue,,block,0
C50-C50,C50-C50,Malignant neoplasm of breast,,block,0
C51-C58,C51-C58,Malignant neoplasms of female genital organs,,block,0
C60-C63,C60-C63,Malignant neoplasms of male genital organs,,block,0
C64-C68,C64-C68,Malignant neoplasms of urinary tract,,block,0
C69-C72,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",,block,0
C73-C75,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,,block,0
C76-C80,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",,block,0
C81-C96,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",,block,0
C97-C97,C97-C97,Malignant neoplasms of independent (primary) multiple sites,,block,0
D00-D09,D00-D09,In situ neoplasms,,block,0
D10-D36,D10-D36,Benign neoplasms,,block,0
D37-D48,D37-D48,Neoplasms of uncertain or unknown behaviour,,block,0
D50-D53,D50-D53,Nutritional anaemias,,block,0
D55-D59,D55-D59,Haemolytic anaemias,,block,0
D60-D64,D60-D64,Aplastic and other anaemias,,block,0
D65-D69,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",,block,0
D70-D77,D70-D77,Other diseases of blood and blood-forming organs,,block,0
D80-D89,D80-D89,Certain disorders involving the immune mechanism,,block,0
E00-E07,E00-E07,Disorders of thyroid gland,,block,0
E10-E14,E10-E14,Diabetes mellitus,,block,0
E15-E16,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,,block,0
E20-E35,E20-E35,Disorders of other endocrine glands,,block,0
E40-E46,E40-E46,Malnutrition,,block,0
E50-E64,E50-E64,Other nutritional deficiencies,,block,0
E65-E68,E65-E68,Obesity and other hyperalimentation,,block,0
E70-E90,E70-E90,Metabolic disorders,,block,0
F00-F09,F00-F09,"Organic, including symptomatic, mental disorders",,block,0
F10-F19,F10-F19,Mental and behavioural disorders due to psychoactive substance use,,block,0
F20-F29,F20-F29,"Schizophrenia, schizotypal and delusional disorders",,block,0
F30-F39,F30-F39,Mood [affective] disorders,,block,0
F40-F48,F40-F48,"Neurotic, stress-related and somatoform disorders",,block,0
F50-F59,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,,block,0
F60-F69,F60-F69,Disorders of adult personality and behaviour,,block,0
F70-F79,F70-F79,Mental retardation,,block,0
