disease,pathway,source,gene_count,enrichment_ratio,p_value,p_adjusted,rank
CKD,Collagen metabolic process,GO_BP,45,2.75,1.29e-08,5.60e-08,1
CKD,mTOR signaling pathway,KEGG,8,1.76,4.98e-08,3.16e-07,2
CKD,Response to oxidative stress,GO_BP,39,3.57,9.36e-08,6.35e-07,3
CKD,Wound healing,GO_BP,35,4.28,1.06e-07,1.02e-06,4
CKD,Toll-like receptor signaling pathway,KEGG,19,1.37,8.20e-07,2.57e-06,5
CKD,JAK-STAT signaling pathway,KEGG,41,1.72,4.97e-07,3.30e-06,6
CKD,Signaling by PDGF,Reactome,14,1.55,7.93e-07,3.94e-06,7
CKD,Oxidative phosphorylation,KEGG,23,3.15,6.88e-07,5.24e-06,8
CKD,Inflammatory response,GO_BP,26,4.28,3.92e-06,2.81e-05,9
CKD,Cytokine-cytokine receptor interaction,KEGG,11,3.93,1.36e-05,3.93e-05,10
CKD,ECM-receptor interaction,KEGG,10,2.05,1.94e-05,1.00e-04,11
CKD,NF-kappa B signaling pathway,KEGG,5,2.43,2.18e-05,1.44e-04,12
CKD,Cell cycle,KEGG,9,2.24,4.22e-05,1.59e-04,13
CKD,Cell proliferation,GO_BP,8,2.42,2.11e-05,1.85e-04,14
CKD,PI3K-Akt signaling pathway,KEGG,31,1.92,3.83e-05,3.34e-04,15
CKD,Immune response,GO_BP,31,4.24,7.51e-05,3.80e-04,16
CKD,Signaling by TGF-beta,Reactome,30,2.24,6.07e-05,4.58e-04,17
CKD,Notch signaling pathway,KEGG,29,2.53,2.08e-04,4.88e-04,18
CKD,p53 signaling pathway,KEGG,29,2.48,1.43e-04,1.17e-03,19
CKD,Wnt signaling pathway,KEGG,6,3.62,1.50e-04,1.22e-03,20
CKD,Chemokine signaling pathway,KEGG,28,4.47,2.47e-04,1.58e-03,21
CKD,MAPK signaling pathway,KEGG,28,1.66,2.04e-03,4.87e-03,22
CKD,Signaling by Interleukins,Reactome,39,2.08,1.66e-03,8.94e-03,23
CKD,Collagen fibril organization,GO_BP,34,3.01,1.11e-03,9.46e-03,24
CKD,Angiogenesis,GO_BP,31,1.29,1.06e-03,1.03e-02,25
CKD,Apoptosis,KEGG,17,4.39,1.66e-03,1.32e-02,26
CKD,Regulation of complement cascade,Reactome,27,4.33,1.90e-03,1.48e-02,27
CKD,Fibroblast proliferation,GO_BP,29,4.02,4.25e-03,1.82e-02,28
CKD,TGF-beta signaling pathway,KEGG,7,1.39,2.40e-03,1.99e-02,29
CKD,Signaling by VEGF,Reactome,23,3.93,3.00e-03,2.25e-02,30
CKD,Degradation of ECM,Reactome,6,3.4,5.47e-03,2.29e-02,31
CKD,Integrin cell surface interactions,Reactome,42,2.21,2.88e-03,2.41e-02,32
CKD,Cell adhesion molecules,KEGG,27,4.13,3.91e-03,2.62e-02,33
CKD,Extracellular matrix disassembly,Reactome,13,4.32,7.35e-03,2.66e-02,34
CKD,MET activates RAS signaling,Reactome,24,2.43,6.17e-03,2.98e-02,35
CKD,Collagen biosynthesis,Reactome,12,3.92,6.84e-03,3.70e-02,36
CKD,Focal adhesion,KEGG,39,3.21,1.30e-02,4.48e-02,37
CKD,Extracellular matrix organization,GO_BP,30,2.63,1.96e-02,4.92e-02,38
CKD,Hippo signaling pathway,KEGG,20,1.74,1.43e-02,1.23e-01,39
CKD,TNF signaling pathway,KEGG,37,1.48,2.91e-02,2.04e-01,40
IPF,MET activates RAS signaling,Reactome,37,3.37,1.04e-08,9.72e-08,1
IPF,Response to oxidative stress,GO_BP,29,2.11,1.50e-08,1.13e-07,2
IPF,Degradation of ECM,Reactome,12,2.18,7.60e-08,1.86e-07,3
IPF,Signaling by TGF-beta,Reactome,44,1.8,9.66e-08,2.90e-07,4
IPF,Apoptosis,KEGG,31,1.36,5.84e-08,3.92e-07,5
IPF,Collagen biosynthesis,Reactome,30,2.35,1.20e-07,5.57e-07,6
IPF,NF-kappa B signaling pathway,KEGG,45,1.95,1.12e-07,6.52e-07,7
IPF,Extracellular matrix organization,GO_BP,38,1.78,1.81e-07,1.20e-06,8
IPF,Collagen fibril organization,GO_BP,18,4.42,1.98e-07,1.29e-06,9
IPF,Integrin cell surface interactions,Reactome,17,1.37,4.92e-07,2.46e-06,10
IPF,Chemokine signaling pathway,KEGG,18,3.91,6.93e-07,2.93e-06,11
IPF,TNF signaling pathway,KEGG,45,3.76,7.02e-07,4.79e-06,12
IPF,Collagen metabolic process,GO_BP,21,3.46,7.99e-07,7.21e-06,13
IPF,Cell proliferation,GO_BP,34,1.6,2.56e-06,1.38e-05,14
IPF,Regulation of complement cascade,Reactome,14,1.2,2.89e-06,2.27e-05,15
IPF,Signaling by Interleukins,Reactome,8,1.26,3.17e-06,2.65e-05,16
IPF,p53 signaling pathway,KEGG,31,3.25,5.35e-06,3.12e-05,17
IPF,Extracellular matrix disassembly,Reactome,27,1.34,6.38e-06,4.83e-05,18
IPF,ECM-receptor interaction,KEGG,22,1.33,6.45e-06,6.38e-05,19
IPF,TGF-beta signaling pathway,KEGG,35,3.32,2.76e-05,1.31e-04,20
IPF,Focal adhesion,KEGG,10,3.42,1.37e-05,1.33e-04,21
IPF,Oxidative phosphorylation,KEGG,34,3.8,1.90e-05,1.65e-04,22
IPF,Signaling by PDGF,Reactome,37,4.12,2.96e-05,2.48e-04,23
IPF,Immune response,GO_BP,35,3.04,9.97e-05,3.25e-04,24
IPF,MAPK signaling pathway,KEGG,32,3.57,5.72e-05,3.87e-04,25
IPF,Wnt signaling pathway,KEGG,32,1.48,1.65e-04,4.96e-04,26
IPF,Signaling by VEGF,Reactome,44,4.18,1.60e-04,7.11e-04,27
IPF,Cell adhesion molecules,KEGG,41,4.19,1.03e-04,8.46e-04,28
IPF,Wound healing,GO_BP,5,1.44,1.05e-04,1.01e-03,29
IPF,mTOR signaling pathway,KEGG,38,2.73,3.26e-04,1.61e-03,30
IPF,Angiogenesis,GO_BP,10,3.31,5.11e-04,2.94e-03,31
IPF,Toll-like receptor signaling pathway,KEGG,20,1.91,1.83e-03,6.26e-03,32
IPF,Cytokine-cytokine receptor interaction,KEGG,27,1.57,1.67e-03,7.55e-03,33
IPF,Fibroblast proliferation,GO_BP,18,4.34,9.78e-04,7.81e-03,34
IPF,Notch signaling pathway,KEGG,31,2.18,3.82e-03,1.10e-02,35
IPF,Hippo signaling pathway,KEGG,18,4.41,2.21e-03,1.24e-02,36
IPF,Inflammatory response,GO_BP,9,3.69,5.88e-03,1.39e-02,37
IPF,PI3K-Akt signaling pathway,KEGG,34,1.85,4.17e-03,1.98e-02,38
IPF,Cell cycle,KEGG,29,3.88,4.27e-03,2.33e-02,39
IPF,JAK-STAT signaling pathway,KEGG,30,1.91,6.58e-03,3.39e-02,40
NASH,Immune response,GO_BP,16,3.25,1.16e-08,1.08e-07,1
NASH,Apoptosis,KEGG,23,2.95,2.93e-08,1.21e-07,2
NASH,Angiogenesis,GO_BP,17,1.64,4.63e-08,2.18e-07,3
NASH,Signaling by VEGF,Reactome,36,4.24,1.61e-07,4.61e-07,4
NASH,Integrin cell surface interactions,Reactome,20,1.23,6.90e-08,6.82e-07,5
NASH,Signaling by TGF-beta,Reactome,27,1.73,3.00e-07,7.88e-07,6
NASH,Chemokine signaling pathway,KEGG,20,3.19,4.92e-07,3.15e-06,7
NASH,Degradation of ECM,Reactome,37,2.49,1.51e-06,3.31e-06,8
NASH,Signaling by PDGF,Reactome,10,4.36,2.38e-06,5.93e-06,9
NASH,Cell proliferation,GO_BP,42,2.79,3.16e-06,7.33e-06,10
NASH,p53 signaling pathway,KEGG,21,3.5,9.18e-07,9.11e-06,11
NASH,JAK-STAT signaling pathway,KEGG,20,1.33,3.41e-06,1.62e-05,12
NASH,TNF signaling pathway,KEGG,19,4.43,3.82e-06,1.88e-05,13
NASH,NF-kappa B signaling pathway,KEGG,12,1.47,6.60e-06,1.89e-05,14
NASH,Collagen fibril organization,GO_BP,34,3.91,2.81e-06,2.46e-05,15
NASH,Notch signaling pathway,KEGG,11,3.94,5.53e-06,2.91e-05,16
NASH,mTOR signaling pathway,KEGG,11,2.54,4.99e-06,3.18e-05,17
NASH,Signaling by Interleukins,Reactome,40,2.65,3.62e-06,3.24e-05,18
NASH,MET activates RAS signaling,Reactome,20,4.37,2.27e-05,6.81e-05,19
NASH,Wnt signaling pathway,KEGG,40,1.6,1.51e-05,7.69e-05,20
NASH,Collagen biosynthesis,Reactome,35,3.96,8.06e-05,2.14e-04,21
NASH,Cytokine-cytokine receptor interaction,KEGG,28,1.28,5.14e-05,2.59e-04,22
NASH,Extracellular matrix organization,GO_BP,10,3.94,7.99e-05,2.79e-04,23
NASH,Extracellular matrix disassembly,Reactome,6,2.09,1.18e-04,3.20e-04,24
NASH,TGF-beta signaling pathway,KEGG,38,4.48,1.49e-04,3.31e-04,25
NASH,Regulation of complement cascade,Reactome,11,4.3,4.85e-05,4.09e-04,26
NASH,Fibroblast proliferation,GO_BP,29,3.41,2.58e-04,2.32e-03,27
NASH,Collagen metabolic process,GO_BP,26,3.37,5.51e-04,3.83e-03,28
NASH,Hippo signaling pathway,KEGG,43,2.98,7.25e-04,5.36e-03,29
NASH,Toll-like receptor signaling pathway,KEGG,24,2.23,1.54e-03,1.14e-02,30
NASH,MAPK signaling pathway,KEGG,36,1.29,2.66e-03,1.45e-02,31
NASH,PI3K-Akt signaling pathway,KEGG,40,2.74,9.92e-03,2.52e-02,32
NASH,Response to oxidative stress,GO_BP,38,2.97,1.11e-02,2.76e-02,33
NASH,Cell adhesion molecules,KEGG,13,1.53,3.76e-03,2.89e-02,34
NASH,ECM-receptor interaction,KEGG,7,2.99,4.11e-03,3.07e-02,35
NASH,Oxidative phosphorylation,KEGG,34,3.07,3.70e-03,3.48e-02,36
NASH,Wound healing,GO_BP,37,3.53,2.13e-02,1.21e-01,37
NASH,Inflammatory response,GO_BP,19,1.76,2.26e-02,1.50e-01,38
NASH,Cell cycle,KEGG,5,3.7,2.50e-02,1.62e-01,39
NASH,Focal adhesion,KEGG,15,1.75,1.73e-02,1.68e-01,40
Pulmonary Fibrosis,Toll-like receptor signaling pathway,KEGG,41,1.72,1.03e-08,4.21e-08,1
Pulmonary Fibrosis,Cell adhesion molecules,KEGG,33,4.3,1.03e-08,6.15e-08,2
Pulmonary Fibrosis,Angiogenesis,GO_BP,16,3.9,2.23e-08,7.04e-08,3
Pulmonary Fibrosis,MET activates RAS signaling,Reactome,30,2.86,1.40e-08,9.38e-08,4
Pulmonary Fibrosis,Focal adhesion,KEGG,8,3.77,3.17e-08,1.08e-07,5
Pulmonary Fibrosis,Inflammatory response,GO_BP,33,1.67,3.62e-08,3.59e-07,6
Pulmonary Fibrosis,NF-kappa B signaling pathway,KEGG,27,3.09,1.41e-07,4.26e-07,7
Pulmonary Fibrosis,Signaling by TGF-beta,Reactome,19,3.14,8.46e-08,5.35e-07,8
Pulmonary Fibrosis,Notch signaling pathway,KEGG,12,3.54,1.28e-07,6.16e-07,9
Pulmonary Fibrosis,Response to oxidative stress,GO_BP,10,2.2,2.96e-07,8.81e-07,10
Pulmonary Fibrosis,MAPK signaling pathway,KEGG,16,2.07,1.44e-07,1.30e-06,11
Pulmonary Fibrosis,Fibroblast proliferation,GO_BP,11,1.25,2.20e-07,1.41e-06,12
Pulmonary Fibrosis,Oxidative phosphorylation,KEGG,6,2.83,1.64e-07,1.49e-06,13
Pulmonary Fibrosis,Cytokine-cytokine receptor interaction,KEGG,12,1.86,2.86e-07,1.76e-06,14
Pulmonary Fibrosis,Chemokine signaling pathway,KEGG,24,2.66,1.89e-07,1.86e-06,15
Pulmonary Fibrosis,Degradation of ECM,Reactome,24,1.66,3.24e-07,1.86e-06,16
Pulmonary Fibrosis,mTOR signaling pathway,KEGG,42,1.59,2.67e-07,2.25e-06,17
Pulmonary Fibrosis,TGF-beta signaling pathway,KEGG,21,3.81,5.17e-07,4.00e-06,18
Pulmonary Fibrosis,TNF signaling pathway,KEGG,22,3.9,3.26e-06,2.09e-05,19
Pulmonary Fibrosis,Cell proliferation,GO_BP,29,2.81,3.24e-06,2.44e-05,20
Pulmonary Fibrosis,Signaling by PDGF,Reactome,15,1.96,1.35e-05,5.21e-05,21
Pulmonary Fibrosis,JAK-STAT signaling pathway,KEGG,8,4.09,1.55e-05,7.86e-05,22
Pulmonary Fibrosis,Regulation of complement cascade,Reactome,5,3.65,1.40e-05,1.04e-04,23
Pulmonary Fibrosis,ECM-receptor interaction,KEGG,38,3.31,3.90e-05,1.13e-04,24
